Driver,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps
ALB,,,,97.198375,16.0,84.367,99.734416666,12.0,96.2345,98.466395833,90.30075,28
ALO,103.687,9.0,100.098,96.188470588,17.0,85.013,97.384222222,9.0,92.49,99.08656427,92.53366666666666,35
ANT,95.2975,10.0,82.646,114.0515,2.0,114.0515,87.458785714,14.0,83.928,98.93592857133332,93.54183333333333,26
ARO,102.203692307,13.0,83.704,,,,,,,102.203692307,83.704,13
BAD,88.337777777,9.0,81.518,,,,,,,88.337777777,81.518,9
BEA,98.804615384,13.0,100.015,92.48075,20.0,84.883,102.330272727,11.0,81.922,97.87187937033332,88.94,44
BOR,,,,86.8803,10.0,84.0725,89.689,6.0,80.821,88.28465,82.44675000000001,16
CAM,103.9389,10.0,106.561,,,,,,,103.9389,106.561,10
CHO,107.52725,12.0,102.606,,,,,,,107.52725,102.606,12
COL,,,,88.5941,20.0,84.7715,101.789923076,13.0,118.405,95.192011538,101.58825,33
DUN,103.303588235,17.0,84.6105,,,,,,,103.303588235,84.6105,17
GAS,95.7521,10.0,83.5125,91.92740909,22.0,84.52,99.220928571,14.0,83.965,95.63347922033334,83.99916666666667,46
HAD,96.575692307,13.0,106.259,87.386384615,13.0,84.336,96.05125,8.0,80.836,93.33777564066666,90.47699999999999,34
HAM,86.097857142,7.0,82.025,93.6466875,16.0,84.365,90.168,10.0,80.953,89.970848214,82.44766666666666,33
HUL,,,,88.831,15.0,84.3545,94.416714285,7.0,81.065,91.6238571425,82.70975,22
LAW,98.392,13.0,83.459,86.989,14.0,84.676,91.628833333,6.0,80.88,92.33661111100001,83.005,33
LEC,100.8585,14.0,97.276,92.191473684,19.0,85.774,95.049307692,13.0,94.813,96.033093792,92.621,46
MAR,99.228090909,11.0,93.397,,,,,,,99.228090909,93.397,11
NOR,101.687352941,17.0,125.245,89.936888888,18.0,83.666,97.243615384,13.0,81.9965,96.28928573766666,96.96916666666668,48
OCO,,,,89.979117647,17.0,84.2575,96.4292,10.0,82.3915,93.2041588235,83.3245,27
PIA,,,,93.310578947,19.0,84.0385,100.414714285,14.0,101.869,96.862646616,92.95375,33
RUS,100.397125,8.0,121.905,92.940722222,18.0,84.04,86.109,6.0,80.235,93.14894907399999,95.39333333333333,32
SAI,91.26125,12.0,83.259,92.571111111,18.0,84.1305,99.922785714,14.0,116.966,94.58504894166667,94.78516666666667,44
STR,97.8569375,16.0,99.5475,101.6565,20.0,84.816,99.094916666,12.0,82.264,99.53611805533335,88.87583333333333,48
TSU,96.048416666,12.0,99.039,91.9785,16.0,84.857,91.971266666,15.0,83.2655,93.33272777733333,89.05383333333334,43
VER,,,,95.070235294,17.0,83.737,81.914857142,7.0,80.04,88.492546218,81.8885,24
VOI,96.501142857,14.0,83.343,,,,,,,96.501142857,83.343,14
