Driver,pitstops,avg_stint_len,median_stint_len,stint_count,mean_race_pace_s,stints_hard,stints_medium,stints_soft
ALB,3,12.5,12.5,4,98.919625,1,0,3
ALO,2,17.0,18.0,3,98.3455,2,0,1
BOT,2,16.666666666666668,16.0,3,99.14583333333333,2,0,1
DEV,2,16.333333333333332,14.0,3,99.73583333333333,2,0,1
GAS,3,12.5,13.5,4,98.63300000000001,2,0,2
HAM,2,17.0,16.0,3,98.65249999999999,2,0,1
HUL,3,12.25,12.5,4,98.959,2,0,2
LEC,2,11.333333333333334,11.0,3,98.10433333333333,2,0,1
MAG,3,12.25,12.5,4,99.01725,2,0,2
NOR,5,6.833333333333333,7.5,6,98.26333333333332,2,1,3
OCO,3,8.0,8.0,4,98.95224999999999,3,0,1
PER,2,16.666666666666668,15.0,3,97.74366666666667,1,0,2
PIA,0,11.0,11.0,1,101.156,0,0,1
RUS,2,16.666666666666668,16.0,3,98.72483333333332,2,0,1
SAI,2,17.0,16.0,3,98.50366666666666,2,0,1
SAR,3,12.25,12.5,4,98.934625,1,0,3
STR,2,16.666666666666668,13.0,3,98.63716666666666,2,0,1
TSU,3,12.5,13.0,4,98.949125,2,0,2
VER,2,16.666666666666668,18.0,3,97.54933333333334,1,0,2
ZHO,3,11.75,14.0,4,98.19825,1,0,3
