Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
VER,Red Bull Racing,1.0,25.0,1,Finished,1.0,1.0,0 days 00:01:29.708000,0.0,97.793083333,12.0,98.5175,99.7538125,16.0,97.2295,119.725166666,6.0,125.3715,105.75735416633334,107.03950000000002,34.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
PER,Red Bull Racing,2.0,18.0,1,Finished,2.0,2.0,0 days 00:01:29.846000,0.138,97.844583333,12.0,98.647,97.000411764,17.0,97.785,102.1655,4.0,94.5725,99.00349836566666,97.00150000000001,33.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
ALO,Aston Martin,3.0,15.0,1,Finished,5.0,5.0,0 days 00:01:30.336000,0.628,112.108071428,14.0,95.879,103.729277777,18.0,97.3835,112.239,6.0,102.6665,109.35878306833335,98.64299999999999,38.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
SAI,Ferrari,4.0,12.0,1,Finished,4.0,4.0,0 days 00:01:30.154000,0.446,104.7275,12.0,100.326,99.022388888,18.0,98.34,108.389727272,11.0,99.178,104.04653872,99.28133333333334,41.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
HAM,Mercedes,5.0,10.0,1,Finished,7.0,7.0,0 days 00:01:30.384000,0.676,99.092,5.0,95.164,100.736,17.0,98.4,94.593142857,7.0,93.508,98.14038095233333,95.69066666666667,29.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
STR,Aston Martin,6.0,8.0,1,Finished,8.0,8.0,0 days 00:01:30.836000,1.128,111.775666666,9.0,103.48,105.031473684,19.0,98.575,115.331111111,9.0,118.265,110.712750487,106.77333333333333,37.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
RUS,Mercedes,7.0,6.0,1,Finished,6.0,6.0,0 days 00:01:30.340000,0.632,105.735214285,14.0,97.724,105.070705882,17.0,98.306,95.965714285,7.0,96.373,102.257211484,97.46766666666667,38.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
BOT,Alfa Romeo,8.0,4.0,1,Finished,12.0,12.0,0 days 00:01:31.443000,1.735,103.471444444,9.0,98.325,102.306588235,17.0,98.733,105.9956,5.0,94.356,103.92454422633334,97.13799999999999,31.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
GAS,Alpine,9.0,2.0,1,Finished,20.0,20.0,0 days 00:01:32.181000,2.473,113.915533333,15.0,96.421,106.414611111,18.0,98.126,116.431,8.0,120.2675,112.25371481466665,104.93816666666667,41.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
ALB,Williams,10.0,1.0,1,Finished,15.0,15.0,0 days 00:01:31.461000,1.753,108.091714285,7.0,97.024,101.7041,20.0,98.058,111.536,7.0,94.485,107.11060476166666,96.52233333333334,34.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
TSU,AlphaTauri,11.0,0.0,0,Finished,14.0,14.0,0 days 00:01:31.400000,1.692,118.917615384,13.0,134.959,108.49595238,21.0,98.926,115.9561,10.0,109.5805,114.45655592133333,114.4885,44.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
SAR,Williams,12.0,0.0,0,Lapped,16.0,16.0,0 days 00:01:31.652000,1.944,107.041882352,17.0,100.091,102.914380952,21.0,98.9305,101.383,5.0,95.005,103.77975443466666,98.00883333333333,43.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
MAG,Haas F1 Team,13.0,0.0,0,Lapped,17.0,17.0,0 days 00:01:31.892000,2.184,100.0808,15.0,98.528,109.775090909,11.0,100.407,110.4048,15.0,100.994,106.75356363633334,99.97633333333333,41.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
DEV,AlphaTauri,14.0,0.0,0,Lapped,19.0,19.0,0 days 00:01:32.121000,2.413,112.6683125,16.0,101.3695,106.006947368,19.0,98.7985,112.38090909,11.0,123.225,110.35205631933333,107.79766666666667,46.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
HUL,Haas F1 Team,15.0,0.0,0,Lapped,10.0,10.0,0 days 00:01:30.809000,1.101,99.492705882,17.0,98.579,101.417588235,17.0,98.932,104.0035,14.0,100.4945,101.63793137233331,99.33516666666667,48.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
ZHO,Alfa Romeo,16.0,0.0,0,Lapped,13.0,13.0,0 days 00:01:31.473000,1.765,104.732125,8.0,98.865,101.9232,15.0,99.592,102.2305,4.0,94.1525,102.96194166666668,97.5365,27.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
NOR,McLaren,17.0,0.0,0,Lapped,11.0,11.0,0 days 00:01:31.381000,1.673,106.563,13.0,99.804,102.204333333,18.0,98.159,109.971,7.0,95.986,106.246111111,97.983,38.0,2023,1,Bahrain Grand Prix,2023-03-05,2023_R1
