Driver,grid_pos,pred_base_pos,exp_pos,p_win,p_podium,p_top10_sim,p_top10_cls,exp_points
VER,1.0,7.8,2.84,0.347,0.734,0.989,0.773,17.56
PER,2.0,7.79,3.23,0.252,0.651,0.987,0.772,16.15
LEC,3.0,7.95,3.85,0.167,0.532,0.983,0.785,14.33
SAI,4.0,8.28,4.63,0.087,0.374,0.98,0.781,12.05
ALO,5.0,8.46,5.23,0.068,0.269,0.968,0.799,10.63
RUS,6.0,8.51,5.7,0.045,0.218,0.954,0.82,9.56
HAM,7.0,8.6,6.4,0.027,0.152,0.934,0.821,8.04
STR,8.0,9.86,8.59,0.004,0.028,0.779,0.743,4.12
OCO,9.0,10.19,9.63,0.001,0.018,0.663,0.656,2.88
HUL,10.0,10.17,10.12,0.001,0.018,0.573,0.646,2.45
NOR,11.0,10.57,11.45,0.001,0.003,0.382,0.568,1.19
BOT,12.0,10.82,12.3,0.0,0.001,0.259,0.509,0.72
ZHO,13.0,10.78,12.74,0.0,0.001,0.252,0.502,0.63
TSU,14.0,11.19,13.91,0.0,0.001,0.12,0.414,0.28
ALB,15.0,11.2,14.55,0.0,0.0,0.093,0.434,0.23
SAR,16.0,11.54,15.59,0.0,0.0,0.04,0.327,0.08
MAG,17.0,11.91,16.5,0.0,0.0,0.02,0.327,0.04
PIA,18.0,11.94,17.05,0.0,0.0,0.011,0.321,0.02
DEV,19.0,12.04,17.71,0.0,0.0,0.011,0.321,0.02
GAS,20.0,12.09,17.98,0.0,0.0,0.002,0.337,0.0
